ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090120000079,aor:AO090120000079,Q2U6V6,5996101,,DNA-directed RNA polymerase subunit,"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PIRNR:PIRNR005586}."
AO090120000074,aor:AO090120000074,Q2U6W1,5996096,,Fatty acyl-CoA reductase (EC 1.2.1.84),
AO090120000052,aor:AO090120000052,Q2U6X8,,,"alpha,alpha-trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)",
AO090120000047,aor:AO090120000047,Q2U6Y1,5996076,,Proline dehydrogenase (EC 1.5.5.2),
AO090120000033,aor:AO090120000033,Q2U6Z4,5996063,,Non-structural maintenance of chromosomes element 1 homolog (EC 2.3.2.27),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU368018}."
AO090120000030,aor:AO090120000030,Q2U6Z6,5996061,,non-specific serine/threonine protein kinase (EC 2.7.11.1),
AO090120000008,aor:AO090120000008,Q2U717,5996040,,Carboxypeptidase M14B (Carboxypeptidase MCPB),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.
AO090124000088,aor:AO090124000088,Q2U729,5995840,,Inositol-1-monophosphatase (EC 3.1.3.25),
AO090124000087,aor:AO090124000087,Q2U730,5995839,,Co-chaperone protein HGH1 homolog,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090124000086,aor:AO090124000086,Q2U731,5995838,,polynucleotide adenylyltransferase (EC 2.7.7.19),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090124000085,aor:AO090124000085,Q2U732,5995837,,Transcription initiation factor IIF subunit alpha,"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU366044}."
AO090124000082,aor:AO090124000082,Q2U735,35119819,,"tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)",
AO090124000079,aor:AO090124000079,Q2U738,5995831,,Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1),SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.
