ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090023000944,aor:AO090023000944,P0C1B3,5993438,amy1; amy2,"Alpha-amylase A type-1/2 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Taka-amylase A) (TAA)",SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090120000196,aor:AO090120000196,P0C1B3,5996200,amy1; amy2,"Alpha-amylase A type-1/2 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Taka-amylase A) (TAA)",SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090003001036,aor:AO090003001036,P12547,5992127,alp1,Alkaline protease 1 (ALP) (EC 3.4.21.63) (Aspergillopeptidase B) (Aspergillus proteinase B) (Elastase) (Elastinolytic serine proteinase) (Oryzin),SUBCELLULAR LOCATION: Secreted.
AO090001000075,aor:AO090001000075,P24021,5990607,nucS,Nuclease S1 (EC 3.1.30.1) (Deoxyribonuclease S1) (Endonuclease S1) (Single-stranded-nucleate endonuclease),
AO090010000493,aor:AO090010000493,P46076,5999611,,Neutral protease 2 (EC 3.4.24.39) (Deuterolysin) (Neutral protease II) (NPII),
AO090005000029,aor:AO090005000029,P52956,5989098,cutL1,Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1) (L1),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16135240}.
AO090103000074,aor:AO090103000074,P78581,5998807,,Tannase (EC 3.1.1.20) [Cleaved into: Tannase 33 kDa subunit; Tannase 30 kDa subunit],
AO090120000474,aor:AO090120000474,Q06902,5996434,pepA,Aspergillopepsin-1 (EC 3.4.23.18) (Acid protease A2) (Aspartic protease pepA) (Aspergillopepsin I) (Aspergillopepsin O) (PEPO) (Aspergillopeptidase A) (PEPA),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8138}.
AO090010000769,aor:AO090010000769,Q2TVY7,5999853,vps10,Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor) (CPY receptor) (Sortilin vps10) (Vacuolar protein sorting-associated protein 10),"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Prevacuolar compartment membrane {ECO:0000269|PubMed:20622126}; Multi-pass membrane protein {ECO:0000269|PubMed:20622126}. Note=Cycles between the Golgi apparatus and the prevacuolar compartment. {ECO:0000250}."
AO090010000708,aor:AO090010000708,Q2TW47,5999793,,NADPH-dependent reductive aminase (RedAm) (EC 1.1.1.-),
AO090010000489,,Q2TWN3,,uba4,Adenylyltransferase and sulfurtransferase uba4 (Common component for nitrate reductase and xanthine dehydrogenase protein F) (Ubiquitin-like protein activator 4) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase uba4) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase uba4)],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P38820}."
AO090010000171,aor:AO090010000171,Q2TXF0,5999340,oryfasA,Fatty acid synthase subunit alpha (EC 2.3.1.86) (Oryzines biosynthesis cluster protein oryfasA) [Includes: 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)],
AO090010000156,aor:AO090010000156,Q2TXG3,5999327,oryfasB,Fatty acid synthase subunit beta (EC 2.3.1.86) (S-acyl fatty acid synthase thioesterase) (EC 3.1.2.14) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39) (Oryzines biosynthesis cluster protein oryfasB)],
AO090103000407,aor:AO090103000407,Q2TY35,,,E2 ubiquitin-conjugating enzyme (EC 2.3.2.23),
AO090011000622,aor:AO090011000622,Q2U020,5998331,MCM7,DNA replication licensing factor MCM7 (EC 3.6.4.12),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU365012}."
AO090011000052,aor:AO090011000052,Q2U1F3,5997848,lapA,Leucine aminopeptidase A (EC 3.4.11.-) (Leucyl aminopeptidase A) (LAPA),"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19129648, ECO:0000269|PubMed:20803144}."
AO090701000566,,Q2U852,,csyB,Acylalkylpyrone synthase csyB (EC 2.3.1.-) (Type III polyketide synthase csyB),
AO090012000997,aor:AO090012000997,Q2UBH5,5988403,atg8,Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier atg8),"SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:16896216, ECO:0000269|PubMed:21204928}; Lipid-anchor {ECO:0000269|PubMed:16896216}. Vacuole membrane {ECO:0000250|UniProtKB:P38182, ECO:0000269|PubMed:21204928}; Lipid-anchor {ECO:0000250|UniProtKB:P38182}. Lipid droplet {ECO:0000269|PubMed:16896216}."
AO090012000729,,Q2UC58,,ssn3,Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
AO090012000502,,Q2UCP6,,aroM,Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
AO090012000445,aor:AO090012000445,Q2UCU3,5987935,lacA,Beta-galactosidase A (EC 3.2.1.23) (Acidic beta-galactosidase) (Ao-beta-gal) (Lactase A),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23688418}.
AO090026000323,aor:AO090026000323,Q2UF71,,chsY,Chitin synthase Y (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase Y) (Class-V chitin synthase Y),SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Cell septum {ECO:0000250|UniProtKB:G5EB74}. Cell tip {ECO:0000250|UniProtKB:G5EB74}.
AO090023000647,,Q2UGZ7,5993172,atg1,Serine/threonine-protein kinase atg1 (EC 2.7.11.1) (Autophagy-related protein 1),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23136971}. Preautophagosomal structure membrane {ECO:0000269|PubMed:23136971}; Peripheral membrane protein {ECO:0000269|PubMed:23136971}.
AO090023000401,aor:AO090023000401,Q2UHL4,5992955,pgaI,Endopolygalacturonase I (EC 3.2.1.15) (Pectinase 1) (Polygalacturonase I) (PG-I),SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090023000001,aor:AO090023000001,Q2UIM2,5993498,abfB,Alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B) (EC 3.2.1.55),SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090003000476,aor:AO090003000476,Q2ULB2,5991638,mns1B,"Mannosyl-oligosaccharide alpha-1,2-mannosidase 1B (EC 3.2.1.113) (Class I alpha-mannosidase 1B) (Man(9)-alpha-mannosidase 1B)",SUBCELLULAR LOCATION: Cytoplasmic vesicle lumen {ECO:0000269|PubMed:16495665}.
AO090003000354,aor:AO090003000354,Q2ULM2,5991528,lap2,probable leucine aminopeptidase 2 (EC 3.4.11.-) (Aminopeptidase II) (Leucyl aminopeptidase 2) (LAP2),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10899618}.
AO090001000664,aor:AO090001000664,Q2UMQ5,5991133,esa1,Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (EC 2.3.1.-) (Protein acetyltransferase ESA1) (EC 2.3.1.-) (Protein crotonyltransferase ESA1) (EC 2.3.1.-),"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O94446}. Chromosome {ECO:0000250|UniProtKB:O94446}. Note=Following DNA damage, localizes to sites of DNA damage, such as double strand breaks (DSBs). {ECO:0000250|UniProtKB:O94446}."
AO090001000066,,Q2UP89,5990599,faeB-1,Probable feruloyl esterase B-1 (EC 3.1.1.73) (Ferulic acid esterase B-1) (FAEB-1),SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090026000083,aor:AO090026000083,Q8NK92,5993610,aorO,Aorsin (EC 3.4.21.-),"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:12519073}."
AO090103000423,,O94163,,xynF1,"Endo-1,4-beta-xylanase F1 (Xylanase F1) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase F1)",SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10586505}.
AO090026000516,aor:AO090026000516,O94183,5993983,pltp,Phosphatidylglycerol/phosphatidylinositol transfer protein (PG/PI-TP),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9933913}. Cytoplasmic vesicle {ECO:0000269|PubMed:9933913}. Golgi apparatus {ECO:0000269|PubMed:9933913}. Note=Also associated with Golgi-like vesicles.
AO090011000118,aor:AO090011000118,P00651,5997907,rntA,Guanyl-specific ribonuclease T1 (RNase T1) (EC 4.6.1.24),
AO090003001210,,P0C1B4,,amy3,"Alpha-amylase A type-3 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Taka-amylase A) (TAA)",SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0C1B3}.
AO090701000508,,P0CL53,,FDH1,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase) (EC 1.1.1.1) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (FLD) (GSH-FDH) (EC 1.1.1.-),
AO090005001044,aor:AO090005001044,P10281,5989969,rntB,Ribonuclease T2 (RNase T2) (EC 4.6.1.19),
AO090023000161,aor:AO090023000161,P35335,5992741,pgaB,Endopolygalacturonase B (EC 3.2.1.15) (Pectinase B) (Polygalacturonase B),SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090005000447,aor:AO090005000447,P80402,5989458,,"2,3-dihydroxybenzoate decarboxylase (2,3-DHBA decarboxylase) (DHBD) (EC 4.1.1.46) (o-pyrocatechuate decarboxylase)",
AO090038000061,aor:AO090038000061,Q00234,5997138,melO,Tyrosinase (EC 1.14.18.1) (Monophenol monooxygenase),
AO090010000776,aor:AO090010000776,Q2TVY0,5999860,,dynamin GTPase (EC 3.6.5.5),SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004450}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004450}.
AO090010000722,aor:AO090010000722,Q2TW34,5999806,katG,Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03108}.
AO090010000504,aor:AO090010000504,Q2TWM1,5999619,pel1,Pectin lyase 1 (PL1) (EC 4.2.2.10) (Pectin lyase B) (PLB),SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090010000439,aor:AO090010000439,Q2TWS7,5999563,,DNA replication licensing factor MCM6 (EC 3.6.4.12),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU368064}."
AO090010000228,aor:AO090010000228,Q2TX99,5999391,,Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (XTP/dITP diphosphatase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03148}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03148}.
AO090010000219,aor:AO090010000219,Q2TXA7,5999383,atrA,ABC multidrug transporter atrA,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:30011258}; Multi-pass membrane protein {ECO:0000255}.
AO090010000030,aor:AO090010000030,Q2TXS4,5999216,pel2,Pectin lyase 2 (PL2) (EC 4.2.2.10) (Pectin lyase D) (PLD),SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090011000940,aor:AO090011000940,Q2TZ99,5998602,,Leucine aminopeptidase 2 (EC 3.4.11.-) (Epoxide hydrolase) (EC 3.3.2.10) (Leukotriene A-4 hydrolase homolog) (LTA-4 hydrolase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q10740}. Nucleus {ECO:0000250|UniProtKB:Q10740}.
AO090011000937,aor:AO090011000937,Q2TZA2,5998599,,Aurora kinase (EC 2.7.11.1),
AO090011000926,,Q2TZB2,,dffA,L-ornithine N(5)-monooxygenase (OMO) (EC 1.14.13.196) (Deferriferrichrysin biosynthesis protein A) (L-ornithine N(5)-oxygenase),
AO090011000813,aor:AO090011000813,Q2TZK9,5998492,,Phospholipid-transporting ATPase (EC 7.6.2.1),"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004166}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004166}. Membrane {ECO:0000256|RuleBase:RU362033}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362033}."
AO090011000651,aor:AO090011000651,Q2TZZ9,5998352,,Folic acid synthesis protein FOL1 (EC 2.5.1.15) (EC 2.7.6.3) (EC 4.1.2.25) (Folic acid synthesis protein fol1),
AO090011000602,aor:AO090011000602,Q2U038,5998313,bna5-1,Kynureninase 1 (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5-1) (L-kynurenine hydrolase 1),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03017}.
AO090011000563,,Q2U070,,dbp2,ATP-dependent RNA helicase dbp2 (EC 3.6.4.13),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
AO090011000498,,Q2U0C3,,atg26,Sterol 3-beta-glucosyltransferase (EC 2.4.1.-) (EC 2.4.1.173) (Autophagy-related protein 26),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q06321}. Preautophagosomal structure membrane {ECO:0000269|PubMed:27696999}; Peripheral membrane protein {ECO:0000269|PubMed:27696999}.
AO090011000449,aor:AO090011000449,Q2U0G5,,chsC,Chitin synthase C (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase C) (Class-I chitin synthase C),SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
AO090011000414,aor:AO090011000414,Q2U0J7,5998154,hepG,Glyceraldehyde-3-phosphate dehydrogenase B (GAPDH) (EC 1.2.1.12) (Heptelidic acid biosynthesis cluster protein G),
AO090011000410,,Q2U0K1,,hepC,Cytochrome P450 monooxygenase hepC (EC 1.-.-.-) (Heptelidic acid biosynthesis cluster protein C),SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
AO090011000378,aor:AO090011000378,Q2U0M6,5998125,atrG,ABC multidrug transporter atrG,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:30011258}; Multi-pass membrane protein {ECO:0000255}.
AO090011000368,aor:AO090011000368,Q2U0N3,5998118,morA,4-methyl-2-oxopentanoate reductase A (MOA reductase A) (MorA) (EC 1.1.1.272) (2-hydroxyacid dehydrogenase D) (2-HadhD),
AO090038000444,,Q2U2I3,,manF,"Probable mannan endo-1,4-beta-mannosidase F (EC 3.2.1.78) (Endo-beta-1,4-mannanase F)",SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090038000386,aor:AO090038000386,Q2U2N4,5997409,,DNA repair protein RAD51 homolog,"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU364139}."
AO090038000317,aor:AO090038000317,Q2U2U3,5997350,benA56,Tubulin beta chain (Beta-tubulin),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton."
AO090020000622,aor:AO090020000622,Q2U3T8,5996996,bud32,EKC/KEOPS complex subunit bud32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase bud32) (EC 2.7.11.1),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P53323}. Nucleus {ECO:0000250|UniProtKB:P53323}. Chromosome, telomere {ECO:0000250|UniProtKB:P53323}."
AO090020000588,aor:AO090020000588,Q2U3W7,5996967,rolA,Class I hydrophobin A (RodA-like protein A),"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16135240}. Secreted, cell wall {ECO:0000269|PubMed:16135240}."
AO090020000357,aor:AO090020000357,Q2U4G1,5996773,,sterol 14alpha-demethylase (EC 1.14.14.154),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090020000289,aor:AO090020000289,Q2U4L7,,gtaA,Glutaminase A (EC 3.5.1.2),SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:D4AMT2}.
AO090020000159,aor:AO090020000159,Q2U4X9,5996605,,Bifunctional lycopene cyclase/phytoene synthase [Includes: Lycopene beta-cyclase (EC 5.5.1.19) (Lycopene cyclase); Phytoene synthase (EC 2.5.1.32)],SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.
AO090020000031,,Q2U587,5996497,chl1,ATP-dependent DNA helicase chl1 (EC 5.6.2.3) (Chromosome loss protein 1) (DNA 5'-3' helicase chl1),SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P22516}.
AO090020000013,aor:AO090020000013,Q2U5A2,5996482,dhh1,ATP-dependent RNA helicase dhh1 (EC 3.6.4.13),"SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000250}. Note=Is concentrated in several cytoplasmic foci called P bodies (or cytoplasmic processing bodies) which represent sites of mRNA decapping and 5' to 3' exonucleotidic decay. {ECO:0000250}."
AO090020000007,aor:AO090020000007,Q2U5A8,5996476,hta1,Histone H2A,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000250}.
AO090020000006,,Q2U5A9,,htb1,Histone H2B,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000250}.
AO090020000005,,Q2U5B0,,atg4,Probable cysteine protease atg4 (EC 3.4.22.-) (Autophagy-related protein 4),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P53867}. Nucleus {ECO:0000250|UniProtKB:P53867}. Preautophagosomal structure {ECO:0000250|UniProtKB:P53867}.
AO090113000137,aor:AO090113000137,Q2U5H9,5995966,kojR,Transcription factor kojR (Kojic acid biosynthesis cluster protein R) (Kojic acid biosynthesis cluster regulator),SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00227}.
AO090120000322,,Q2U6A1,,lig4,DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4),SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q08387}.
AO090120000316,aor:AO090120000316,Q2U6A7,,,protein kinase C (EC 2.7.11.13),
AO090120000297,,Q2U6C4,,dcl1,Dicer-like protein 1 [Includes: Endoribonuclease dcl1 (EC 3.1.26.-); ATP-dependent helicase dcl1 (EC 3.6.4.-)],
AO090120000285,,Q2U6D4,,ppm2,tRNA wybutosine-synthesizing protein 4 (tRNA-yW synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q08282}.
AO090120000149,aor:AO090120000149,Q2U6P7,5996160,sub2,ATP-dependent RNA helicase sub2 (EC 3.6.4.13),SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
AO090120000088,aor:AO090120000088,Q2U6U7,5996110,,Phospholipid-transporting ATPase (EC 7.6.2.1),SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|RuleBase:RU362033}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362033}.
AO090124000090,aor:AO090124000090,Q2U727,5995842,,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245, ECO:0000256|RuleBase:RU365032}."
AO090124000084,aor:AO090124000084,Q2U733,5995836,,Fatty acid synthase subunit beta (EC 1.3.1.9) (EC 2.3.1.38) (EC 2.3.1.39) (EC 2.3.1.86) (EC 3.1.2.14) (EC 4.2.1.59),
AO090124000083,aor:AO090124000083,Q2U734,5995835,,Fatty acid synthase subunit alpha (EC 1.1.1.100) (EC 2.3.1.41) (EC 2.3.1.86),
AO090701000589,aor:AO090701000589,Q2U834,,chsB,Chitin synthase B (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase B) (Class-III chitin synthase B),SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
AO090701000397,aor:AO090701000397,Q2U8K6,5995299,dbp5,ATP-dependent RNA helicase dbp5 (EC 3.6.4.13),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus, nuclear pore complex. Nucleus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Nuclear pore complex cytoplasmic fibrils. {ECO:0000250}."
AO090701000351,aor:AO090701000351,Q2U8P0,,,Serine/threonine-protein phosphatase (EC 3.1.3.16),
AO090701000246,,Q2U8Y3,,AA13,Inactive AA13 family lytic polysaccharide monooxygenase,SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
AO090701000226,aor:AO090701000226,Q2U902,5995153,TAH18,NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03178}. Mitochondrion {ECO:0000256|HAMAP-Rule:MF_03178}. Note=Relocalizes to mitochondria after H(2)O(2) exposure. {ECO:0000256|HAMAP-Rule:MF_03178}.
AO090701000214,aor:AO090701000214,Q2U913,5995142,cpa1,"Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Glutamine-dependent carbamoyl phosphate synthetase)",SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P22572}.
AO090701000097,aor:AO090701000097,Q2U9B5,5995040,kae1,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein kae1) (tRNA threonylcarbamoyladenosine biosynthesis protein kae1),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03180}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03180}.
AO090102000501,,Q2UA85,,AA11,AA11 family lytic polysaccharide monooxygenase (LPMO11) (EC 1.14.99.-),
AO090102000366,aor:AO090102000366,Q2UAJ0,5994603,,DNA replication licensing factor MCM5 (EC 3.6.4.12),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU368063}."
AO090102000165,aor:AO090102000165,Q2UB01,5994442,ppsA,"Acyl-CoA ligase ppsA (EC 6.2.1.13) (EC 6.2.1.17) (2,4'-dihydroxy-3'-methoxypropiophenone biosynthesis cluster protein A)",SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
AO090012000988,aor:AO090012000988,Q2UBI1,5988397,,Glutamate synthase [NADH] (EC 1.4.1.14),
AO090012000805,aor:AO090012000805,Q2UBZ5,5988233,spb4,ATP-dependent rRNA helicase spb4 (EC 3.6.4.13),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:P25808}."
AO090012000733,,Q2UC55,,PSD2,Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain],SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|HAMAP-Rule:MF_03209}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_03209}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03209}. Endosome membrane {ECO:0000256|HAMAP-Rule:MF_03209}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_03209}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03209}.
AO090012000727,aor:AO090012000727,Q2UC60,5988168,,DNA replication licensing factor MCM2 (EC 3.6.4.12) (DNA replication licensing factor mcm2) (Minichromosome maintenance protein 2),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090012000495,,Q2UCQ0,5987978,hhtA,Histone H3,SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000250}.
AO090012000328,aor:AO090012000328,Q2UD41,5987837,atrH,ABC multidrug transporter atrH,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:30011258}; Multi-pass membrane protein {ECO:0000255}.
AO090012000267,,Q2UD93,,xlnR,Xylanolytic transcriptional activator xlnR (Xylanase regulator),SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00227}.
AO090012000173,,Q2UDH2,,nte1,Lysophospholipase nte1 (EC 3.1.1.5) (Intracellular phospholipase B) (Neuropathy target esterase homolog),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
AO090012000171,aor:AO090012000171,Q2UDH4,5987704,,Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase),
AO090026000842,aor:AO090026000842,Q2UDX6,5994269,,sterol 14alpha-demethylase (EC 1.14.14.154),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.
AO090026000585,aor:AO090026000585,Q2UEK2,5994043,astA,Nonribosomal peptide synthetase astA (EC 6.3.2.-) (Astellolide biosynthesis cluster protein A),
AO090026000581,,Q2UEK5,,astD,Cytochrome P450 monooxygenase astD (EC 1.-.-.-) (Astellolide biosynthesis cluster protein D),SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
